nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_3_e,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dlv_p,o_dlv_e,o_hops,legs
19,13297,5442,4568,120,934,236,420,260,815,518,488,170,140,134,0,0,0,0,2033,1317,1283,360,629,441,700,784,349,550,492,2,1
20,9481,327,167,90,278,579,1010,584,128,302,53,90,268,579,0,0,0,0,11277,606,52,240,763,128,810,542,409,3960,7005,1,2
21,5838,249,116,150,223,391,385,155,815,0,0,0,0,0,0,0,0,0,10003,82,16,135,138,815,285,157,485,5160,432,1,2
22,10613,2127,234,300,2158,332,705,783,815,47,34,150,100,614,1252,410,150,0,11117,139,34,240,292,815,945,867,403,5160,2060,1,1
23,1363,287,172,150,179,746,870,828,349,813,426,330,659,349,0,0,0,0,9042,4583,4312,780,1057,778,1205,832,349,1075,4090,1,3
24,4038,295,98,240,382,815,270,143,391,921,389,300,814,628,3954,657,210,0,5171,989,343,240,830,391,270,134,815,5100,1966,2,2
25,3091,692,72,270,851,349,930,1062,456,59,87,240,171,128,3204,820,240,0,324,1233,380,150,944,456,1030,821,128,4230,5859,2,3
26,13510,1211,494,90,772,485,1250,897,700,0,0,0,0,0,0,0,0,0,8957,860,525,90,368,700,1935,1424,431,3780,1287,2,3
27,4991,115,51,240,227,476,975,731,815,0,0,0,0,0,0,0,0,0,9817,814,78,135,812,815,300,290,527,5100,24,1,1
28,11674,123,48,420,596,349,1240,1048,413,1064,534,90,563,700,0,0,0,0,5820,2741,2591,150,265,413,1000,761,128,4230,2649,1,1
29,7108,342,0,300,583,753,510,322,174,0,0,0,0,0,0,0,0,0,3618,1045,36,240,1195,815,995,884,671,4680,0,2,2
30,394,1024,892,420,559,815,845,726,809,56,24,240,241,128,16266,15981,240,0,12166,1545,1244,150,411,809,725,606,128,4170,2184,1,1
31,13559,139,10,240,305,476,975,818,815,216,87,240,310,476,0,0,0,0,4319,114,31,240,260,815,465,342,752,5760,33561,2,3
32,11152,509,283,240,429,398,1305,369,299,1768,1674,150,209,411,0,0,0,0,9552,16955,16424,90,556,299,820,605,700,3780,4388,1,2
33,10315,136,93,135,166,815,295,201,485,1082,950,240,321,476,141,83,150,0,6793,1438,256,90,1209,485,1240,911,700,3780,3070,2,2
34,3104,3858,3529,90,702,671,815,524,700,0,0,0,0,0,0,0,0,0,7418,1290,355,300,1310,308,805,672,256,2940,1257,2,3
35,3491,241,190,135,135,815,285,166,485,1220,405,155,941,134,0,0,0,0,13507,7282,6225,90,1083,485,1250,850,700,3780,1310,1,1
36,4535,5877,5505,240,584,548,920,157,128,0,0,0,0,0,0,0,0,0,14151,1315,929,240,590,128,845,502,206,3960,636,1,2
37,2172,2713,2080,90,697,700,1100,625,597,4843,3975,90,928,700,1329,569,420,0,5014,1048,163,180,1005,597,1050,981,815,5160,1421,1,1
38,11135,898,29,240,1049,597,950,773,349,1213,1161,360,352,441,490,515,300,0,1206,4654,4545,180,199,556,555,551,134,2820,1125,2,3
39,13641,14854,14484,300,688,555,735,719,371,3190,2084,300,1377,308,385,77,300,0,7066,2920,2875,300,303,371,855,727,308,2100,1591,2,3
40,10206,1476,1147,240,525,798,740,596,815,0,0,0,0,0,0,0,0,0,7655,390,104,180,444,815,225,162,128,3960,6015,2,3
41,11942,112,73,120,99,256,980,1610,815,0,0,0,0,0,0,0,0,0,13298,132,103,135,107,815,295,193,527,5100,68,2,1
42,9153,781,41,150,865,727,125,172,128,139,197,180,62,256,1320,1230,300,0,8022,14735,14618,300,396,555,740,536,371,1560,115,1,1
43,2315,22224,21475,90,1785,476,1120,871,128,826,90,240,922,456,3355,3064,240,0,12677,2974,1028,90,1968,128,1430,1157,700,3780,159,1,3
44,8251,1863,1181,90,712,308,1255,946,233,0,0,0,0,0,0,0,0,0,7494,1540,1525,150,116,233,90,155,349,1178,1055,1,3
45,9962,990,248,240,925,281,415,204,815,0,0,0,0,0,0,0,0,0,9872,180,111,240,260,815,500,527,313,6000,7497,2,1
46,561,315,0,165,432,128,1275,1031,413,0,0,0,0,0,0,0,0,0,10223,1374,685,90,728,413,855,458,700,3780,1475,1,1
47,828,180,90,150,194,485,140,105,128,0,32,180,95,166,0,0,0,0,6924,364,175,150,300,128,635,612,413,4230,297,1,1
48,4562,3637,3296,90,370,671,795,654,700,2388,2238,90,193,671,0,0,0,0,7406,670,11,300,911,308,930,951,597,2760,3792,1,2
49,13455,3325,2849,300,716,411,1100,827,349,1064,80,240,1164,815,986,95,240,0,9408,43,21,150,157,614,455,143,815,3565,3720,1,2
50,8283,555,280,90,302,431,1780,1482,700,1371,785,90,621,128,2558,810,90,0,6543,1156,459,90,727,700,905,514,597,3780,2293,1,3
51,8168,3144,2917,300,567,431,811,528,256,0,0,0,0,0,0,0,0,0,3255,14221,13324,90,927,256,1240,960,700,3780,179,1,3
52,3231,1281,537,240,927,456,1015,971,128,0,0,0,0,0,0,0,0,0,7155,379,62,240,497,233,385,147,398,9700,5098,2,1
53,5025,1085,267,180,938,597,1050,1009,815,0,0,0,0,0,0,0,0,0,10962,146,65,135,165,815,215,151,128,4890,20,1,1
54,7498,1162,99,210,1213,663,265,157,815,1045,89,240,1168,815,2291,2148,90,0,424,1548,663,150,986,476,645,625,128,4230,3885,1,1
55,11109,264,126,155,291,134,100,263,281,987,74,240,1106,815,140,65,150,0,8732,930,870,300,318,524,805,695,555,1140,1598,2,3
56,8679,845,170,180,801,761,345,217,609,202,203,240,179,815,1688,54,240,0,6358,185,113,150,174,527,220,145,571,375,763,2,3
57,11694,291,0,240,486,809,725,507,128,161,27,240,318,798,212,115,240,0,1062,1028,451,150,672,770,385,160,128,4230,28,1,3
58,4613,135,58,135,168,815,285,204,485,1367,374,90,1024,700,0,0,0,0,6405,1190,854,90,519,485,1240,897,700,3780,93,2,3
59,10507,682,95,240,776,815,200,168,233,508,284,240,416,286,5234,1659,90,0,6078,2863,1096,90,1793,233,1035,547,609,3780,6564,1,2
60,234,122,83,300,275,609,820,631,815,3690,560,300,3370,411,362,184,150,0,4688,1145,84,240,1241,815,760,680,609,7680,828,1,3
61,8585,2984,2737,150,346,411,585,559,128,239,23,150,315,476,1378,1263,240,0,5981,94,86,120,57,727,125,224,101,2880,2371,1,3
62,12419,1439,372,150,1167,281,115,136,128,495,154,90,361,538,0,0,0,0,6342,2444,1567,90,907,700,845,483,628,3780,1361,1,3
63,12117,2183,2047,180,304,671,1200,897,349,1087,713,180,494,671,0,0,0,0,12949,1539,1639,600,426,481,1740,1690,413,420,1703,1,2
64,9449,171,71,150,202,614,455,191,815,152,144,150,88,431,661,245,210,0,11106,1344,304,240,1225,815,780,762,609,7680,2775,1,2
65,7564,151,136,150,107,614,455,182,815,0,0,0,0,0,0,0,0,0,7582,1064,148,180,1039,815,225,163,128,3960,1759,1,3
66,10705,4845,4404,270,678,700,810,816,349,0,0,0,0,0,0,0,0,0,8185,950,338,150,702,349,50,80,815,5160,1116,2,1
67,8425,131,19,150,204,101,155,127,128,496,336,90,278,579,273,63,240,0,13634,817,10,240,1046,128,785,468,809,3960,220,2,1
68,11901,2292,36,240,2452,128,970,723,456,0,0,0,0,0,0,0,0,0,1178,1481,600,90,905,456,880,561,700,3420,4422,1,3
69,6777,1095,635,90,511,485,1240,995,700,0,0,0,0,0,0,0,0,0,6097,700,476,90,297,700,1935,1388,431,3780,1976,2,1
70,12335,982,327,150,758,281,155,168,128,379,296,150,189,485,0,0,0,0,5340,93,25,150,184,128,840,157,238,3540,591,1,1
71,13171,1076,434,90,694,700,850,547,413,1927,52,165,1995,236,0,0,0,0,7633,1592,1279,90,362,413,860,586,700,3780,793,1,2
72,13743,32,45,240,195,128,785,517,809,1210,1217,300,257,571,0,0,0,0,4840,515,445,420,481,809,910,704,371,3960,185,2,2
73,11804,1820,362,300,1866,609,735,542,281,2435,187,300,2531,628,0,0,0,0,4836,295,105,180,340,179,540,238,281,4110,135,1,2
74,6531,92,76,240,211,128,970,790,456,0,0,0,0,0,0,0,0,0,2676,1176,311,150,1043,456,790,794,128,4200,965,2,2
75,11836,1450,1938,300,1192,409,720,1058,281,0,0,0,0,0,0,0,0,0,11054,100,71,155,84,134,90,85,610,2880,166,1,1
76,10419,1359,171,240,1383,815,760,713,609,1100,114,240,1190,815,862,335,150,0,8706,257,156,240,291,609,765,816,128,3960,3091,1,1
77,12361,808,256,210,705,233,375,346,815,0,0,0,0,0,0,0,0,0,10542,46,33,135,90,815,285,194,485,5160,295,2,3
78,9073,3026,1791,90,1266,441,1105,712,700,0,0,0,0,0,0,0,0,0,3550,5041,4266,90,846,700,1155,694,426,3780,60,1,1
79,1025,1420,1343,300,329,753,1320,1157,128,1345,703,300,891,789,259,321,300,0,7750,13176,12116,90,1095,233,1375,1159,700,3780,2985,1,1
80,5280,6286,5888,180,508,809,1240,1281,149,0,0,0,0,0,0,0,0,0,9193,1962,1677,300,553,700,1110,1136,128,3960,1575,2,3
81,12379,1601,1436,150,261,281,115,116,128,1690,1261,300,719,555,0,0,0,0,7036,280,265,300,264,371,840,769,431,4020,24703,1,1
82,717,325,523,120,732,721,960,644,256,455,477,300,259,371,0,0,0,0,23,47,0,300,280,431,770,645,815,5325,17,2,2
83,2159,322,164,90,218,700,1275,855,815,624,548,180,202,206,124,64,240,0,3558,278,45,135,307,815,385,596,770,7555,34,1,2
84,9716,1437,394,420,1505,349,1190,904,597,0,0,0,0,0,0,0,0,0,2049,4162,3045,90,1192,597,915,527,700,3780,1658,1,3
85,14178,1877,1853,240,204,721,330,274,349,3045,1478,600,2047,778,406,0,270,0,1145,1491,585,90,930,456,880,578,700,3420,1209,2,1
86,4444,39,63,240,185,815,285,257,485,0,0,0,0,0,0,0,0,0,5637,1995,1051,180,696,485,885,795,149,5460,2063,2,3
87,3373,292,117,180,342,609,683,595,349,1966,1773,90,235,700,0,0,0,0,13263,15137,14028,150,1170,349,395,1049,317,660,814,2,1
88,11163,2655,1654,240,1205,128,775,507,216,0,0,0,0,0,0,0,0,0,4936,404,156,270,452,216,735,601,815,2880,4158,1,2
89,4988,124,0,240,287,476,975,708,815,61,38,150,111,614,1031,384,150,0,10471,28,23,240,211,815,215,260,774,5370,1084,2,1
90,5607,488,400,150,255,308,620,778,128,2576,1838,150,840,628,7391,7160,240,0,14047,1364,1135,240,443,128,740,557,798,3960,136,1,3
91,12714,2057,694,90,1543,128,1130,724,441,1297,74,120,1303,236,4407,4032,120,0,3270,8852,8386,1260,1666,441,400,280,579,425,6805,1,3
92,5016,1447,551,180,1016,597,1050,977,815,0,0,0,0,0,0,0,0,0,4019,1121,55,240,1249,815,760,745,609,7680,53,1,3
93,12338,1065,526,210,700,233,255,149,815,2740,2398,150,462,349,1882,1746,150,0,10319,7088,7168,240,107,243,185,705,317,240,1234,1,1
94,2448,817,299,90,913,700,1275,839,349,2245,1942,420,708,431,2277,106,240,0,12291,5486,2184,420,3676,349,691,622,136,609,2242,2,3
95,1000,1466,781,180,805,671,975,785,349,2637,1863,240,963,456,107,0,300,0,1087,721,216,240,694,770,385,151,128,3960,921,1,3
96,13841,4112,3292,90,901,128,1400,1104,700,38054,37159,90,925,815,0,0,0,0,2459,1041,207,90,865,700,935,643,538,3780,347,2,3
97,14190,4909,4319,90,620,299,820,541,700,740,473,90,297,299,144,81,240,0,10656,3195,633,90,2636,153,1240,923,700,3780,814,1,2
98,11016,1446,302,240,1328,281,405,201,815,1381,1061,300,583,753,0,0,0,0,10489,190,127,135,149,815,285,183,485,5160,107,2,3
99,7143,1109,335,240,954,233,395,142,398,1499,1140,300,600,698,1259,282,240,0,13854,1591,357,360,1541,398,330,242,571,1494,335,1,2
100,716,1595,1225,300,622,671,1045,864,609,1357,168,240,1384,815,0,0,0,0,7990,235,22,300,490,609,720,554,256,2940,308,2,3
101,3414,151,56,135,180,815,285,167,485,0,0,0,0,0,0,0,0,0,13707,1285,901,180,526,485,150,192,349,385,4155,1,2
102,11718,1576,474,180,1248,609,674,562,256,171,176,150,928,485,0,0,0,0,11805,11189,10209,240,1202,256,2880,1458,691,2400,408,1,1
103,6995,157,19,150,243,128,100,254,349,492,521,300,215,468,1214,711,180,0,7260,1654,1122,270,781,349,1025,968,468,355,18317,1,2
104,4109,1194,160,240,1221,815,1020,828,671,0,0,0,0,0,0,0,0,0,13182,2039,1804,90,261,671,820,449,700,3780,2675,1,3
105,12780,232,191,150,146,166,170,174,128,897,271,180,763,101,733,152,150,0,6701,308,138,240,380,128,815,491,332,3840,57,2,1
106,956,5083,4928,90,271,520,1225,921,128,2358,377,150,2080,281,889,427,150,0,6455,932,47,240,1091,128,880,654,800,3960,150,1,3
107,5732,1538,428,150,1201,411,610,575,128,169,61,90,160,113,864,619,150,0,1791,242,167,150,179,128,765,601,610,3600,520,1,3
108,4586,797,85,135,808,815,215,139,128,0,0,0,0,0,0,0,0,0,13469,1088,261,90,861,128,1400,1151,700,3780,122,1,3
109,9641,1308,536,240,959,456,1030,802,128,0,0,0,0,0,0,0,0,0,10603,1300,637,90,694,128,1225,944,700,3780,2406,1,1
110,13017,783,629,90,207,671,820,843,700,2513,1580,90,960,456,0,0,0,0,8702,2593,1416,240,1375,411,855,1064,128,3960,1235,2,1
111,3434,365,104,180,336,166,2010,1691,349,0,0,0,0,0,0,0,0,0,532,1149,344,150,895,391,100,153,128,4230,1516,1,2
112,4269,101,44,135,146,815,285,193,485,238,12,135,314,815,0,0,0,0,13436,904,444,150,601,485,180,104,128,4170,310,2,1
113,9533,106,72,150,123,614,455,180,815,0,0,0,0,0,0,0,0,0,8796,1123,155,90,995,815,1220,1034,700,3780,2360,1,2
114,7388,809,215,150,694,366,120,168,128,2379,1888,150,591,366,3491,3018,240,0,11515,1240,1164,240,305,800,860,2275,128,3960,1497,2,1
115,22,358,32,300,565,609,825,681,815,455,169,90,344,698,123,64,180,0,1562,2883,688,240,2388,576,415,150,128,3960,8204,2,3
116,13477,575,480,180,236,695,460,252,308,4459,1555,420,3281,349,1274,233,150,0,14157,3495,3223,420,653,548,1160,851,349,1155,4985,2,3
117,13308,654,261,240,585,441,976,996,128,0,0,0,0,0,0,0,0,0,13273,877,192,300,932,571,820,684,144,8400,0,2,3
118,2593,676,174,240,689,815,300,196,527,2656,1746,90,951,456,393,23,135,0,5793,1068,687,180,906,527,895,571,149,6960,490,2,1
119,8621,1591,1427,210,314,663,255,153,815,0,0,0,0,0,0,0,0,0,9595,1239,780,90,484,299,820,335,700,3780,2355,2,3
120,13024,3458,3277,90,225,671,820,635,700,0,0,0,0,0,0,0,0,0,9884,401,237,90,188,187,750,347,700,4625,1239,2,1
121,10389,236,62,135,251,815,845,719,371,13135,12740,300,812,555,0,0,0,0,7069,4470,4425,300,303,371,855,724,308,1620,15,1,1
122,12816,354,291,240,253,445,970,806,128,0,0,0,0,0,0,0,0,0,10611,8562,7978,90,624,128,1225,975,700,3780,362,2,2
123,2901,246,41,90,491,579,1005,920,128,0,0,0,0,0,0,0,0,0,1456,395,53,165,478,128,1275,1004,413,3960,170,2,1
124,12211,2416,2198,180,365,671,930,900,349,1549,1374,150,279,750,551,71,420,0,8197,1720,264,150,1551,349,55,81,815,6990,4419,1,1
125,6671,148,0,240,334,128,975,726,403,4707,4072,90,667,700,144,68,240,0,10266,65,66,240,196,403,1005,764,800,3960,2383,2,3
126,121,1595,1143,300,695,609,830,765,815,0,0,0,0,0,0,0,0,0,4161,108,101,240,183,815,240,249,349,5250,506,1,3
127,8802,1182,43,90,1166,815,1220,1030,700,0,0,0,0,0,0,0,0,0,8848,2701,1989,90,749,700,605,203,698,3780,8598,1,1
128,10852,2843,43,240,2985,815,285,223,485,205,86,135,210,815,0,0,0,0,14512,1544,772,90,797,485,1250,881,700,3780,1653,1,1
129,9006,88,24,240,271,128,1045,832,700,6842,6122,90,749,174,0,0,0,0,6109,671,367,90,330,700,845,526,628,3780,445,1,2
130,4008,684,101,240,766,815,285,175,281,2056,1194,90,915,700,0,0,0,0,3809,1318,391,90,958,281,1200,772,700,3780,1055,1,2
131,6610,545,55,300,764,233,760,568,798,1348,0,180,1467,243,165,145,300,0,10261,2865,2839,240,221,798,740,701,815,5220,74,2,2
132,13042,415,152,90,299,700,1470,971,476,2600,2107,90,524,299,0,0,0,0,3178,8788,5738,90,4124,476,1130,632,441,3780,2775,2,3
133,11874,1309,876,270,641,349,205,248,524,1680,1640,250,233,597,758,45,240,0,1199,203,193,240,136,173,1074,1099,456,356,448,1,2
134,6214,839,662,90,216,700,1935,1415,431,0,0,0,0,0,0,0,0,0,3223,399,85,90,379,431,1745,1399,700,3780,39,1,3
135,14611,434,420,195,149,441,700,713,349,0,0,0,0,0,0,0,0,0,11178,560,117,420,837,349,1114,873,468,341,776,1,1
136,11030,872,71,240,994,815,265,198,614,185,22,240,388,128,0,0,0,0,9439,194,188,150,126,614,455,216,815,3565,837,1,1
137,866,392,93,180,415,216,735,498,815,349,239,385,480,456,1078,444,210,0,9260,1465,486,90,1009,815,1220,1045,700,3780,19940,1,2
138,13201,623,194,90,454,700,2315,1517,411,118,105,150,122,166,8224,7433,90,0,2414,3118,2711,90,437,411,1940,1709,700,3780,135,2,3
139,305,2432,1700,150,831,456,1030,767,128,126,45,135,165,815,1608,1647,240,0,10735,1597,497,240,1296,128,970,754,403,3960,1001,1,3
140,7427,14220,13315,300,1158,609,905,943,597,1123,1113,240,216,128,670,89,300,0,12065,1575,1549,280,283,597,910,911,349,550,1556,1,3
141,5602,478,288,240,470,431,735,785,128,9128,8700,90,461,476,86,66,240,0,10358,3090,2055,90,1067,128,1135,731,441,3780,14635,1,3
142,12468,331,296,240,238,700,900,961,128,14161,10934,240,3444,128,0,0,0,0,4568,2938,2572,240,572,548,920,836,128,3960,59,1,3
143,797,1073,612,150,626,134,220,175,128,0,0,0,0,0,0,0,0,0,13717,401,350,180,171,411,935,1241,317,660,3322,1,2
144,8504,1250,323,90,957,256,1240,990,700,1398,255,150,1240,727,0,0,0,0,11310,4857,4234,90,654,700,920,719,538,3780,388,1,1
145,5086,685,650,360,335,187,655,691,349,244,181,240,254,456,0,0,0,0,9558,1017,582,420,857,349,1240,880,671,335,624,1,2
146,10725,119,44,135,141,815,215,198,128,1862,1134,240,896,152,0,0,0,0,6727,249,177,150,170,128,765,636,610,3600,482,1,2
147,2329,140,291,300,59,216,690,970,798,722,400,360,606,700,0,0,0,0,2772,1520,1001,150,660,349,2165,854,144,2880,1843,1,2
148,3039,3734,3634,90,141,671,815,616,700,0,0,0,0,0,0,0,0,0,12939,740,246,300,749,308,925,960,597,2760,3915,1,2
149,10466,104,88,135,99,815,285,240,485,0,0,0,0,0,0,0,0,0,14375,1388,1024,90,429,485,1250,902,700,3780,674,1,1
150,12309,265,224,210,161,388,600,383,349,0,0,0,0,0,0,0,0,0,3381,1312,157,300,1421,144,1595,553,490,7050,0,1,1
151,111,216,137,150,168,431,795,577,815,228,77,150,244,614,1110,241,180,0,3647,231,212,135,95,815,280,147,485,5160,309,1,1
152,11240,1385,122,150,1342,101,60,96,727,0,0,0,0,0,0,0,0,0,2803,322,294,150,124,166,130,163,128,4230,2900,1,3
153,12289,789,150,180,759,515,365,126,815,0,0,0,0,0,0,0,0,0,4271,1406,331,240,1267,815,760,760,609,7680,1176,2,1
154,9343,205,108,150,189,614,455,158,815,0,0,0,0,0,0,0,0,0,11110,248,124,135,219,815,290,180,485,5160,3024,1,1
155,4992,123,27,240,268,476,975,896,815,0,0,0,0,0,0,0,0,0,4266,92,64,135,125,815,285,149,485,5160,718,1,1
156,220,169,0,240,336,476,975,721,815,0,0,0,0,0,0,0,0,0,3505,198,180,135,113,815,280,168,485,5160,164,1,1
157,8220,1612,1307,90,365,413,860,504,700,37477,36496,90,1011,815,0,0,0,0,6296,3241,3052,90,222,700,805,557,206,3780,960,1,1
158,7182,4669,1169,90,3516,233,1345,1001,308,176,216,240,150,571,913,121,150,0,638,165,147,300,282,308,800,666,485,1140,110,1,2
159,441,208,0,180,322,476,985,757,815,0,0,0,0,0,0,0,0,0,4593,1195,44,240,1341,815,760,831,609,7680,665,1,3
160,14042,786,95,150,781,750,540,163,485,228,25,135,355,815,0,0,0,0,14532,1184,732,90,515,485,1250,997,700,3780,2061,1,1
161,12535,1152,817,180,489,671,930,906,349,1009,620,180,559,671,1988,1632,300,0,12601,2358,2102,420,632,349,816,724,609,414,354,1,2
162,9761,515,441,180,191,485,140,164,281,474,259,150,326,809,0,0,0,0,8004,145,43,150,196,281,130,167,134,2850,110,1,3
163,8449,1041,179,150,964,101,130,183,128,2212,1613,90,629,299,1557,260,300,0,569,321,0,165,438,128,1275,1031,413,3960,860,1,2
164,12873,1837,1625,90,269,671,820,483,700,1655,797,90,903,485,1541,610,90,0,12728,2052,230,360,2118,700,1125,1012,481,550,6222,1,3
165,12655,7731,7818,90,1373,128,1400,1034,700,143,142,240,208,128,0,0,0,0,10742,1183,618,90,605,700,795,377,671,3780,1922,2,3
166,1737,849,180,240,851,456,1015,835,128,214,65,135,232,815,104,35,135,0,11321,699,628,150,164,485,95,31,815,5700,81,1,2
167,7569,5833,3513,90,2357,262,1130,731,700,0,0,0,0,0,0,0,0,0,3784,1121,102,240,1198,815,760,696,609,7680,976,2,3
168,11094,1195,1834,155,889,134,640,609,609,0,0,0,0,0,0,0,0,0,14040,410,214,185,322,609,525,722,281,2880,34,1,1
169,8446,822,78,110,797,377,285,172,485,97,58,110,92,377,0,0,0,0,13190,718,292,300,683,485,280,174,815,4740,1155,3,1
170,7999,189,249,300,180,128,840,852,485,764,0,240,971,128,0,0,0,0,11502,1459,1236,150,317,800,590,622,128,3600,1516,2,2
171,5836,1414,340,150,1189,413,730,744,128,2633,545,180,2198,326,0,0,0,0,560,951,124,150,922,391,100,120,128,4230,12741,2,2
172,13582,434,340,360,394,153,1495,1115,349,0,0,0,0,0,0,0,0,0,13350,1712,1697,240,205,441,970,1381,128,3960,273,2,2
173,767,789,69,180,839,671,1170,929,349,266,200,300,298,609,1059,287,240,0,558,807,296,150,608,770,115,113,128,4230,2140,2,1
174,2698,3806,2979,240,1019,456,1030,792,128,1002,679,180,446,671,0,0,0,0,5222,1466,1392,240,264,770,380,119,128,4020,7313,2,3
175,2584,691,143,240,731,815,225,166,128,1809,1660,180,278,609,497,0,180,0,8826,1518,667,240,1047,128,975,899,403,3960,148,2,2
176,13546,1577,309,240,1445,476,975,755,815,790,598,180,312,485,0,0,0,0,9338,512,60,150,542,610,500,1617,349,385,884,1,3
177,4995,221,172,240,222,476,975,851,815,1524,1442,150,172,233,164,98,150,0,1372,35112,34137,90,1004,815,1220,1043,700,3780,3588,1,2
178,293,529,180,180,469,216,735,492,815,0,0,0,0,0,0,0,0,0,10072,1110,69,240,1223,815,780,732,609,7680,818,2,3
179,7844,855,106,150,841,281,255,456,524,127,58,135,160,815,1097,180,180,0,1323,1119,513,150,710,524,185,228,128,4230,990,1,1
180,14335,528,290,90,267,700,845,546,628,0,0,0,0,0,0,0,0,0,10123,5272,3230,300,2294,628,920,755,128,3960,1059,2,3
181,10269,1969,697,240,1467,403,1180,951,809,310,715,960,509,490,78,123,240,0,12175,742,546,300,458,809,675,577,128,3960,2159,1,1
182,3884,611,340,240,452,286,985,881,128,0,0,0,0,0,0,0,0,0,5867,105,140,300,226,548,845,581,308,1590,452,2,3
183,5391,1405,357,90,1095,476,1700,1278,700,1655,796,90,904,485,1577,781,90,0,2147,1328,736,90,634,700,695,229,561,3780,1956,1,1
184,9656,1228,609,780,1389,349,1162,840,144,0,0,0,0,0,0,0,0,0,7095,1512,0,300,1767,144,730,733,721,5760,4433,1,3
185,3220,5845,5785,300,323,690,750,650,555,1060,76,240,1184,815,1535,1535,300,0,544,1475,1284,300,463,555,2140,840,356,2645,1328,1,1
186,5655,2947,1635,240,1501,411,850,711,128,2922,1977,90,976,700,0,0,0,0,10700,8573,1883,90,6725,128,1140,675,441,3780,322,1,3
187,9741,490,307,180,303,485,155,127,610,432,246,240,358,476,45,62,150,0,6912,175,263,150,705,610,230,282,485,2881,99,1,2
188,6333,1092,93,300,1253,413,1000,951,128,2915,2798,240,300,411,797,104,150,0,12062,7478,6989,240,691,128,875,572,144,3960,51,1,3
189,1383,37991,37030,90,989,815,1220,1041,700,1103,72,90,1061,815,319,149,90,0,11778,2038,1769,360,571,700,947,354,299,948,1370,1,3
